Topic,N,Uptake,Effort,Quality,Attitude
Child support,586,0.2508532423208191,0,0.7588304528589783,0.7952218430034131
Energy transition,598,0.2040133779264214,0,0.7452950399322702,0.7441471571906354
Cannabis,606,0.17986798679867988,0,0.7143312352231593,0.5726072607260725
