Topic,N,ACME,p,ADE,Prop. mediated,Rho at ACME = 0,R2 product
Child support,66,0.099,0.612,-0.154,0.006,0.2,0.04
Cannabis,51,0.021,0.87,0.455,0.007,0.05,0.002
