Topic,Arm,Estimate,SE,CI low,CI high,p,Sig,N,adj. R2
Cannabis,Monetary,-0.124,0.114,-0.348,0.1,0.279,,606,-0.001
Cannabis,Verbal,-0.092,0.112,-0.312,0.128,0.413,,606,-0.001
Child support,Monetary,0.285,0.129,0.031,0.538,0.028,*,586,0.01
Child support,Verbal,0.357,0.136,0.09,0.623,0.009,**,586,0.01
Energy transition,Monetary,0.129,0.126,-0.119,0.377,0.307,,598,-0.002
Energy transition,Verbal,0.053,0.123,-0.188,0.294,0.665,,598,-0.002
