Topic,Arm,Estimate,SE,CI low,CI high,p,Sig,N,adj. R2
Cannabis,Monetary,0.205,0.034,0.139,0.272,0,***,606,0.057
Cannabis,Verbal,0.135,0.033,0.07,0.2,0,***,606,0.057
Child support,Monetary,0.285,0.034,0.219,0.35,0,***,586,0.108
Child support,Verbal,0.12,0.035,0.051,0.19,0.001,***,586,0.108
Energy transition,Monetary,0.058,0.02,0.019,0.097,0.004,**,598,0.011
Energy transition,Verbal,0.032,0.019,-0.006,0.07,0.102,,598,0.011
