pid,wave,group_f,z_verbal,z_money,att_baseline,prior_engagement,polknow_total,pol_interest_general,newsuse_online,edu_time,age,gender_f,url_int_visits_yn,att_pre,att_post,att_signed,att_abs,kno_pre,kno_post,kno_signed,n_visits_total,exp_topic_uptake_n,exp_topic_uptake_yn,n_topic_search,n_topic_url,n_topic_domains,total_duration,topic_duration,exp_topic_uptake_dw,exp_topic_uptake_logdw,n_scored,n_domains,exp_q_dur,exp_q_unw,exp_q_log,n_scored_news,n_domains_news,exp_q_dur_news,exp_q_unw_news,exp_q_log_news,n_scored_all,n_domains_all,exp_q_dur_all,exp_q_unw_all,exp_q_log_all,meets_activity_threshold,hab_overall_dw_pc1,hab_news_dw_pc1,hab_news_corrected_dw_pc1,hab_overall_dw_sd_pc1,hab_news_dw_sd_pc1,hab_news_corrected_dw_sd_pc1,hab_overall_level_group,hab_news_level_group,hab_news_corrected_level_group,hab_overall_diversity_group,hab_news_diversity_group,hab_news_corrected_diversity_group,hab_overall_level_diversity_group,hab_news_level_diversity_group,hab_news_corrected_level_diversity_group,nfc,topic,y_abs,y_signed,effort_count,q_primary,t_verbal,t_money
273726366948,3,verbal,1,NA,7,0,0.29411764705882354,3,2,14,34,female,0,7,4,-3,3,2,3,1,132,0,0,0,0,0,3021,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6264111204930775,0.6160979209925354,0.6998698797282011,0.10690867161887058,0.054353884120818,0.02791315431987175,low,low,low,high,high,low,low_level-high_diversity,low_level-high_diversity,low_level-low_diversity,5.5,Cannabis legalisation,3,-3,0,NA,1,0
273746614716,3,control,0,0,1,0,0.6470588235294118,3,8,14,53,not female,0,1,1,0,0,2,2,0,93,0,0,0,0,0,22232,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7236212963664705,0.6691029307873299,0.718303326480675,0.13887278974203057,0.0670081274048784,0.14311363314838704,high,low,high,high,high,high,high_level-high_diversity,low_level-high_diversity,high_level-high_diversity,3,Cannabis legalisation,0,0,0,NA,0,0
273971922264,3,control,0,0,4,1,0.35294117647058826,1,1,16,43,not female,0,4,7,3,3,1,2,1,62,0,0,0,0,0,1609,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7013083914975364,0.5654789404934871,0.5654789404934871,0.08071869099924879,0.05571795524863983,0.05571795524863983,high,low,low,low,high,high,high_level-low_diversity,low_level-high_diversity,low_level-high_diversity,7,Cannabis legalisation,3,3,0,NA,0,0
273984233580,3,verbal,1,NA,5,1,0.7058823529411765,3,1,12,42,not female,0,5,4,-1,1,3,2,-1,88,0,0,0,0,0,6615,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6682711331335252,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA,NA,4.5,Cannabis legalisation,1,-1,0,NA,1,0
274115558160,3,monetary,NA,1,4,1,0.6470588235294118,4,8,12,56,not female,0,4,5,1,1,3,3,0,22,0,0,0,0,0,362,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.8143085483678827,0.8252050812982378,0.6486088918234147,0.05522173342432,0.03959651626403652,0.0033182767265942,high,high,low,low,low,low,high_level-low_diversity,high_level-low_diversity,low_level-low_diversity,NA,Cannabis legalisation,1,1,0,NA,0,1
274131498096,3,control,0,0,2,NA,0.47058823529411764,4,7,9,47,not female,0,2,2,0,0,1,1,0,59,0,0,0,0,0,3496,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6769139949176581,0.6645719265562136,0.6941716819838668,0.08206884778457035,0.03411920358055405,0.03671835029707749,high,low,low,low,low,low,high_level-low_diversity,low_level-low_diversity,low_level-low_diversity,4.5,Cannabis legalisation,0,0,0,NA,0,0
274350928032,3,verbal,1,NA,1,0,0.6470588235294118,3,6,16,56,not female,0,1,1,0,0,2,2,0,63,0,0,0,0,0,2063,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6554521080113752,0.6846173026865041,0.6519199680058343,0.06289372186218704,0.07828392829213009,0.07062430795591475,low,high,low,low,high,high,low_level-low_diversity,high_level-high_diversity,low_level-high_diversity,3.5,Cannabis legalisation,0,0,0,NA,1,0
274397163696,3,control,0,0,4,0,0.6470588235294118,3,3,15,40,not female,0,4,5,1,1,2,2,0,31,0,0,0,0,0,1466,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6472853541685365,0.6477420270691425,0.6529705945357465,0.06908665085630246,0.05994385835736209,0.05870851676388791,low,low,low,low,high,high,low_level-low_diversity,low_level-high_diversity,low_level-high_diversity,6,Cannabis legalisation,1,1,0,NA,0,0
274430404728,3,verbal,1,NA,4,1,0.8235294117647058,5,8,15,57,female,0,4,3,-1,1,3,3,0,6,0,0,0,0,0,407,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6316852514399058,0.6240534937720692,0.6240561980538143,0.03731417664214322,0.02944142741178378,0.02942775944331381,low,low,low,low,low,low,low_level-low_diversity,low_level-low_diversity,low_level-low_diversity,NA,Cannabis legalisation,1,-1,0,NA,1,0
274502024316,3,control,0,0,7,0,0.5294117647058824,3,6,19,58,not female,1,7,7,0,0,3,3,0,97,2,1,1,1,2,8948,260,0.029056772463120252,0.027554073715274584,1,1,0.682819360793679,0.682819360793679,0.682819360793679,NA,NA,NA,NA,NA,2,2,0.6789025302697914,0.6755452469636021,0.6763017841640182,TRUE,0.5944178117414799,0.5731896009622547,0.694568585623084,0.1407807420587936,0.03509097616269954,0.12180712523270287,low,low,low,high,low,high,low_level-high_diversity,low_level-low_diversity,low_level-high_diversity,7,Cannabis legalisation,0,0,2,0.682819360793679,0,0
