pid,wave,group_f,z_verbal,z_money,att_baseline,prior_engagement,polknow_total,pol_interest_general,newsuse_online,edu_time,age,gender_f,url_int_visits_yn,att_pre,att_post,att_signed,att_abs,kno_pre,kno_post,kno_signed,n_visits_total,exp_topic_uptake_n,exp_topic_uptake_yn,n_topic_search,n_topic_url,n_topic_domains,total_duration,topic_duration,exp_topic_uptake_dw,exp_topic_uptake_logdw,n_scored,n_domains,exp_q_dur,exp_q_unw,exp_q_log,n_scored_news,n_domains_news,exp_q_dur_news,exp_q_unw_news,exp_q_log_news,n_scored_all,n_domains_all,exp_q_dur_all,exp_q_unw_all,exp_q_log_all,meets_activity_threshold,hab_overall_dw_pc1,hab_news_dw_pc1,hab_news_corrected_dw_pc1,hab_overall_dw_sd_pc1,hab_news_dw_sd_pc1,hab_news_corrected_dw_sd_pc1,hab_overall_level_group,hab_news_level_group,hab_news_corrected_level_group,hab_overall_diversity_group,hab_news_diversity_group,hab_news_corrected_diversity_group,hab_overall_level_diversity_group,hab_news_level_diversity_group,hab_news_corrected_level_diversity_group,nfc,topic,y_abs,y_signed,effort_count,q_primary,t_verbal,t_money
329454786096,2,verbal,1,NA,7,1,0.8823529411764706,5,8,16,48,not female,0,7,7,0,0,4,3,-1,262,0,0,0,0,0,30471,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.504564072037759,0.7143694864993008,0.750934120382287,0.15823574402903814,0.11922856735377792,0.05500657191767283,low,high,high,high,high,high,low_level-high_diversity,high_level-high_diversity,high_level-high_diversity,6.5,Renewable-energy transition,0,0,0,NA,1,0
329485223412,2,control,0,0,5,0,0.6470588235294118,4,5,12,38,not female,0,5,4,-1,1,1,2,1,8,0,0,0,0,0,144,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.668271133133525,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA,NA,5.5,Renewable-energy transition,1,-1,0,NA,0,0
329589326160,2,control,0,0,3,1,0.5882352941176471,4,7,12,54,female,0,3,5,2,2,3,3,0,66,0,0,0,0,0,6953,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6689386169992646,0.6529537541322586,0.6970718691152861,0.0614041881600005,0.09675557738164488,0.03967022349447923,high,low,low,low,high,low,high_level-low_diversity,low_level-high_diversity,low_level-low_diversity,5,Renewable-energy transition,2,2,0,NA,0,0
329601780432,2,verbal,1,NA,6,1,0.5882352941176471,3,3,12,58,not female,0,6,6,0,0,2,1,-1,123,0,0,0,0,0,18249,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6569309171410093,NA,NA,0.05318847083384918,NA,NA,low,NA,NA,low,NA,NA,low_level-low_diversity,NA,NA,7,Renewable-energy transition,0,0,0,NA,1,0
329682079980,2,verbal,1,NA,6,0,0.17647058823529413,2,2,10,32,not female,0,6,6,0,0,2,2,0,11,0,0,0,0,0,1725,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,Renewable-energy transition,0,0,0,NA,1,0
330394807980,2,monetary,NA,1,7,1,0.8823529411764706,5,8,16,54,not female,0,7,6,-1,1,4,3,-1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.811283407592074,0.8123054497206245,0.8111440083430876,0.03176134851324048,0.02851617918841915,0.03061654314067518,high,high,high,low,low,low,high_level-low_diversity,high_level-low_diversity,high_level-low_diversity,NA,Renewable-energy transition,1,-1,0,NA,0,1
330411837528,2,verbal,1,NA,1,0,0.7058823529411765,5,0,12,55,not female,0,1,2,1,1,2,3,1,315,0,0,0,0,0,20187,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6409820050193324,NA,0.78072705875249,0.16512084466823135,NA,0.00299650767992224,low,NA,high,high,NA,low,low_level-high_diversity,NA,high_level-low_diversity,5.5,Renewable-energy transition,1,1,0,NA,1,0
330501237696,2,monetary,NA,1,7,1,0.5294117647058824,3,6,10,64,not female,0,7,6,-1,1,2,3,1,7,0,0,0,0,0,250,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6328961103291101,0.6164671544506838,0.6275749250108711,0.04762853899589261,0.04192832376449997,0.04891988196669714,low,low,low,low,low,low,low_level-low_diversity,low_level-low_diversity,low_level-low_diversity,NA,Renewable-energy transition,1,-1,0,NA,0,1
330505338960,2,control,0,0,4,0,0.7058823529411765,3,5,18,61,not female,0,4,4,0,0,1,2,1,32,0,0,0,0,0,2450,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.5513563495839937,NA,0.692950433812193,0.15390544408595178,NA,0.00144215892328666,low,NA,low,high,NA,low,low_level-high_diversity,NA,low_level-low_diversity,6.5,Renewable-energy transition,0,0,0,NA,0,0
330538103244,2,control,0,0,4,0,0.4117647058823529,3,4,13,52,not female,0,4,4,0,0,2,1,-1,92,0,0,0,0,0,2318,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6421391317846553,0.6488190589932396,0.6539202630507241,0.07431213232131866,0.01614683294428365,0.03160638228776332,low,low,low,low,low,low,low_level-low_diversity,low_level-low_diversity,low_level-low_diversity,5,Renewable-energy transition,0,0,0,NA,0,0
