pid,wave,group_f,z_verbal,z_money,att_baseline,prior_engagement,polknow_total,pol_interest_general,newsuse_online,edu_time,age,gender_f,url_int_visits_yn,att_pre,att_post,att_signed,att_abs,kno_pre,kno_post,kno_signed,n_visits_total,exp_topic_uptake_n,exp_topic_uptake_yn,n_topic_search,n_topic_url,n_topic_domains,total_duration,topic_duration,exp_topic_uptake_dw,exp_topic_uptake_logdw,n_scored,n_domains,exp_q_dur,exp_q_unw,exp_q_log,n_scored_news,n_domains_news,exp_q_dur_news,exp_q_unw_news,exp_q_log_news,n_scored_all,n_domains_all,exp_q_dur_all,exp_q_unw_all,exp_q_log_all,meets_activity_threshold,hab_overall_dw_pc1,hab_news_dw_pc1,hab_news_corrected_dw_pc1,hab_overall_dw_sd_pc1,hab_news_dw_sd_pc1,hab_news_corrected_dw_sd_pc1,hab_overall_level_group,hab_news_level_group,hab_news_corrected_level_group,hab_overall_diversity_group,hab_news_diversity_group,hab_news_corrected_diversity_group,hab_overall_level_diversity_group,hab_news_level_diversity_group,hab_news_corrected_level_diversity_group,nfc,topic,y_abs,y_signed,effort_count,q_primary,t_verbal,t_money
273726366948,1,verbal,1,NA,4,0,0.29411764705882354,3,2,14,34,female,0,4,6,2,2,1,3,2,7,0,0,0,0,0,1616,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6264111204930775,0.6160979209925354,0.6998698797282011,0.10690867161887058,0.054353884120818,0.02791315431987175,low,low,low,high,high,low,low_level-high_diversity,low_level-high_diversity,low_level-low_diversity,5.5,Basic child support,2,2,0,NA,1,0
273746614716,1,control,0,0,4,0,0.6470588235294118,3,8,14,53,not female,0,4,4,0,0,1,1,0,51,0,0,0,0,0,16628,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7236212963664705,0.6691029307873299,0.718303326480675,0.13887278974203057,0.0670081274048784,0.14311363314838704,high,low,high,high,high,high,high_level-high_diversity,low_level-high_diversity,high_level-high_diversity,3,Basic child support,0,0,0,NA,0,0
273908992896,1,monetary,NA,1,4,0,0.23529411764705882,1,1,9,30,female,0,4,4,0,0,1,3,2,3,0,0,0,0,0,72,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.3941341048712343,NA,0.728693231358026,0.07318583974388031,NA,NA,low,NA,high,low,NA,NA,low_level-low_diversity,NA,NA,4.5,Basic child support,0,0,0,NA,0,1
273971922264,1,control,0,0,7,1,0.35294117647058826,1,1,16,43,not female,0,7,5,-2,2,2,2,0,68,0,0,0,0,0,4351,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7013083914975364,0.5654789404934871,0.5654789404934871,0.08071869099924879,0.05571795524863983,0.05571795524863983,high,low,low,low,high,high,high_level-low_diversity,low_level-high_diversity,low_level-high_diversity,7,Basic child support,2,-2,0,NA,0,0
273984233580,1,verbal,1,NA,4,0,0.7058823529411765,3,1,12,42,not female,0,4,7,3,3,1,2,1,107,0,0,0,0,0,1453,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6682711331335252,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA,NA,4.5,Basic child support,3,3,0,NA,1,0
274024999980,1,monetary,NA,1,5,0,0.7058823529411765,4,7,17,23,not female,1,5,5,0,0,2,3,1,266,12,1,6,6,7,24709,741,0.029989072807479058,0.050279665554280206,3,3,0.4787952681322813,0.5283018415820597,0.518481964937075,2,2,0.5966835437533891,0.604906403061461,0.6031265027175157,9,4,0.4974284795585984,0.5890393232263401,0.5638260756692058,TRUE,0.5101258298749745,0.5994823886337225,0.7121370081321167,0.14687112952074183,0.06339918241243787,0.14393494277645963,low,low,high,high,high,high,low_level-high_diversity,low_level-high_diversity,high_level-high_diversity,5,Basic child support,0,0,12,0.4787952681322813,0,1
274131498096,1,control,0,0,4,0,0.47058823529411764,4,7,9,47,not female,0,4,4,0,0,2,1,-1,20,0,0,0,0,0,825,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6769139949176581,0.6645719265562136,0.6941716819838668,0.08206884778457035,0.03411920358055405,0.03671835029707749,high,low,low,low,low,low,high_level-low_diversity,low_level-low_diversity,low_level-low_diversity,4.5,Basic child support,0,0,0,NA,0,0
274350928032,1,verbal,1,NA,5,NA,0.6470588235294118,3,6,16,56,not female,0,5,4,-1,1,2,2,0,4,0,0,0,0,0,116,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6554521080113752,0.6846173026865041,0.6519199680058343,0.06289372186218704,0.07828392829213009,0.07062430795591475,low,high,low,low,high,high,low_level-low_diversity,high_level-high_diversity,low_level-high_diversity,3.5,Basic child support,1,-1,0,NA,1,0
274397163696,1,control,0,0,1,1,0.6470588235294118,3,3,15,40,not female,0,1,1,0,0,3,3,0,31,0,0,0,0,0,1790,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6472853541685365,0.6477420270691425,0.6529705945357465,0.06908665085630246,0.05994385835736209,0.05870851676388791,low,low,low,low,high,high,low_level-low_diversity,low_level-high_diversity,low_level-high_diversity,6,Basic child support,0,0,0,NA,0,0
274502024316,1,control,0,0,7,0,0.5294117647058824,3,6,19,58,not female,0,7,7,0,0,2,2,0,47,0,0,0,0,0,2121,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.5944178117414799,0.5731896009622547,0.694568585623084,0.1407807420587936,0.03509097616269954,0.12180712523270287,low,low,low,high,low,high,low_level-high_diversity,low_level-low_diversity,low_level-high_diversity,7,Basic child support,0,0,0,NA,0,0
